-011.08192167,49.44643333
-011.07457667,49.45309667
-011.07643667,49.45531667
Frauenkirche,-011.07822167,49.45407000
St. Lorenz,-011.07872833,49.45099333
Museumsbrücke,-011.07800167,49.45278833
Germanisches Nationalmuseum,-011.07534833,49.44784167
Fleischbrücke,-011.07682000,49.45281167
Henkersteg,-011.07296667,49.45303000
Burggarten,-011.07482667,49.45849000
Kettensteg,-011.07088167,49.45416000
Neutorturm,-011.07152333,49.45617667
Dürerhaus,-011.07395000,49.45712667
Sinwellturm,-011.07654500,49.45767333
Weinstadel,-011.07327667,49.45381667
Hauptmarkt,-011.07734167,49.45384833
